word,definition
livid,extremely angry
lofty,"very tall, grand or high"
magnet,an object that pulls certain metals towards it
magnificent,extremely impressive or beautiful
mansion,"a very large, grand house"
marathon,a very long running race
marvellous,wonderful
mechanic,a person who fixes engines and machines
mermaid,"a mythical creature, half woman and half fish"
microscope,a tool used to see very tiny things up close
midnight,twelve o'clock at night
midpoint,the middle point of something
miniature,a tiny version of something
mischievous,enjoying playful tricks
murky,"dark, cloudy and hard to see through"
muscle,a part of your body that helps you move
museum,a building where interesting old objects are shown
mysterious,strange and hard to explain
nervous,worried or scared about something that might happen
nimble,able to move quickly and lightly
nocturnal,active at night instead of during the day
opponent,the person or team you are competing against
orchard,a place where fruit trees are grown
orchestra,a large group of musicians playing together
outback,the remote inland areas of Australia
pagan,belonging to an old religion that worships many gods or nature
pancake,a thin flat cake cooked in a pan
parcel,a package sent by post
parchment,a thick paper-like material once made from animal skin
patient,able to wait calmly without complaining
peculiar,strange or unusual
picnic,"a meal eaten outdoors, often on a rug"
pirate,someone who robs ships at sea
platypus,a strange Australian animal with a bill like a duck
playground,an outdoor area with equipment for children to play on
plentiful,available in large amounts
popcorn,corn kernels that puff up into a fluffy snack when heated
predator,an animal that hunts other animals for food
punctuation,marks like full stops and commas used in writing
quaint,old-fashioned and charming
recipe,a set of instructions for cooking a dish
rectangle,a shape with four straight sides and four right angles
referee,a person who makes sure players follow the rules of a game
reluctant,not wanting to do something
rhinoceros,a huge grey animal with a horn on its nose
rhyme,words that end with the same sound
rhythm,a regular pattern of beats or sounds
sandwich,two slices of bread with filling in between
scent,"a smell, often a pleasant one"
science,the study of how the world works
scramble,to climb or move quickly and awkwardly
shell,"the hard outer covering of an egg, nut or sea creature"
shiver,to shake because you are cold or scared
snag,a small problem or difficulty
solemn,serious and not cheerful
spaghetti,long thin strips of pasta
splendid,excellent or magnificent
stubborn,refusing to change your mind
stumble,to trip and almost fall
sturdy,strongly and solidly built
suburb,a residential area on the edge of a city
surge,a sudden powerful rush or increase
suspicious,feeling that something is wrong or not trustworthy
talisman,an object believed to bring good luck or protect its owner
telescope,a tool used to see faraway objects like stars
temperature,how hot or cold something is
thesaurus,a book that lists words with similar meanings
thumb,the short thick finger on your hand
thunder,the loud rumbling sound that follows lightning
timid,shy and easily frightened
tiptoe,to walk quietly on your toes
tomorrow,the day after today
tournament,a competition with several rounds
tranquil,calm and peaceful
treasure,valuable things like gold or jewels
tremble,"to shake, often from fear or cold"
triangle,a shape with three straight sides
umbrella,a folding cover that keeps off rain
unicorn,a mythical horse with a single horn on its head
uniform,the special clothes worn by students at a school
vacuum,"a space with nothing in it, or a machine that sucks up dirt"
valley,the low land between two hills
vanish,to disappear suddenly
vast,extremely large in size or area
village,"a small group of houses, smaller than a town"
villain,the bad character in a story
vivid,"very bright, clear or detailed"
wander,to walk around without a clear direction
warlock,a man in stories who can do magic
wary,careful because you sense possible danger
wattle,an Australian tree with fluffy yellow flowers
weary,very tired
wetland,land that is often covered by shallow water
wharf,a platform where ships load and unload
whisper,to speak very quietly
whistle,to make a high sound by blowing air through your lips
wizard,a man in stories with magical powers
wombat,a stocky Australian animal that digs burrows
wooded,covered with trees
wreath,"a circle of leaves or flowers, often hung as decoration"
wrench,a tool used to turn nuts and bolts
wriggle,to twist and turn your body
wrinkle,a small fold or crease in skin or fabric
wrist,the joint that connects your hand to your arm
yearn,to want something very much
yesterday,the day before today
zero,the number 0; nothing at all
