word,definition
escapee,a person who has escaped from a place of confinement
etiquette,the customary rules of polite behaviour in society
exemplary,serving as a desirable model; outstandingly good
exquisite,extremely beautiful and delicate
facade,"the front of a building, or a deceptive outward appearance"
fallacy,"a mistaken belief, especially one based on unsound reasoning"
fatigue,extreme tiredness resulting from physical or mental exertion
feasible,possible to do easily or conveniently
feud,"a long and bitter dispute, especially between families or groups"
flamboyant,"tending to attract attention because of confidence, stylishness, or extravagance"
fortnight,a period of two weeks
fraudulent,"obtained, done by, or involving deception, typically for financial gain"
frontier,"a border between two countries, or the limit of achieved knowledge"
fuselage,"the main body of an aircraft, excluding wings and tail"
galleon,"a large, multi-decked sailing ship used mainly from the 15th to 18th centuries"
garrison,a group of troops stationed in a fortress or town to defend it
gauche,socially awkward or lacking in social grace
genealogy,the study of family ancestry and lineage
geyser,a hot spring that intermittently sends a column of water and steam into the air
glockenspiel,a percussion instrument with tuned metal bars played with small hammers
gratitude,the quality of being thankful
gregarious,fond of company; sociable
grievance,"a real or imagined cause for complaint, especially of unfair treatment"
guerrilla,"a member of a small, irregular fighting force operating independently"
hereditary,passed down genetically from parent to offspring
hierarchy,a system in which people or things are ranked one above another
homage,special honour or respect shown publicly
homonym,a word that is spelled or pronounced the same as another but has a different meaning
hospitable,friendly and welcoming to guests or strangers
hurricane,a violent tropical storm with very high winds
hypocrite,a person who claims to have moral standards they do not actually follow
idiosyncrasy,a peculiar or individual characteristic or habit
imitation,"a copy of something else, often one that is not as good as the original"
immaculate,"perfectly clean, neat, or free from flaws"
impeccable,in accordance with the highest standards; flawless
impetuous,acting or done quickly and without thought or care
inaugurate,"to begin or introduce a system, policy, or period formally"
incognito,having one's identity concealed
infamous,well known for some bad quality or deed
inhospitable,harsh and difficult to live in; unwelcoming
innuendo,"an indirect or subtle reference, especially one implying something suggestive or critical"
inquisitive,having or showing curiosity; eager for knowledge
instalment,one of several parts into which a payment or story is divided
interim,the period of time between one event and another; temporary
intuition,"the ability to understand something instinctively, without conscious reasoning"
invincible,too powerful to be defeated or overcome
isthmus,a narrow strip of land connecting two larger land areas
jubilant,feeling or expressing great happiness and triumph
khaki,"a dull yellowish-brown colour, often used for military uniforms"
kookaburra,a large Australian kingfisher known for its distinctive laughing call
labyrinth,a complicated and irregular network of passages; a maze
languish,to lose or lack vitality; to remain in an unpleasant situation for a long time
larynx,the part of the throat containing the vocal cords
liaison,communication or cooperation between people or groups; a person who facilitates this
lineage,direct descent from an ancestor; ancestry
linguist,a person who studies languages or is skilled in several languages
livelihood,a means of securing the necessities of life; a source of income
magnitude,the great size or extent of something; importance
marsupial,"a mammal that carries its young in a pouch, such as a kangaroo or koala"
masquerade,a false show or pretence; a party where guests wear masks
melancholy,"a deep, pensive, and long-lasting sadness"
mercenary,a professional soldier hired to fight for a foreign army; motivated by money
meticulous,showing great attention to detail; very careful and precise
misnomer,a name or term that is wrongly applied
nefarious,wicked or criminal in intent
nemesis,"an unbeatable rival, or a source of harm or downfall"
noticeable,easily seen or noticed; clearly evident
notorious,famous or well known for something bad
noxious,"harmful, poisonous, or very unpleasant"
nucleus,the central and most important part of something; the core of a cell containing genetic material
obfuscate,to deliberately make something unclear or difficult to understand
oblique,neither parallel nor at a right angle to a specified line; indirect or evasive
obsequious,excessively eager to please or obey someone
obstinate,stubbornly refusing to change one's opinion or course of action
ominous,giving the impression that something bad is going to happen
onomatopoeia,"the formation of a word from a sound associated with what it names, such as buzz"
opulent,ostentatiously rich and luxurious
ostentatious,"designed to impress or attract notice, often excessively so"
pandemonium,wild and noisy disorder or confusion
paradox,a statement or situation that seems contradictory but may contain a deeper truth
paraphernalia,"miscellaneous articles, especially the equipment needed for a particular activity"
penchant,a strong or habitual liking for something
perfunctory,carried out with minimum effort or reflection
pertinent,relevant or applicable to a particular matter
petulant,childishly sulky or bad-tempered
philanthropist,a person who donates money and time to help others
plagiarism,the practice of taking someone else's work and passing it off as one's own
plethora,a large or excessive amount of something
poignant,evoking a keen sense of sadness or regret
posthumous,occurring after a person's death
precarious,not securely held or in danger of falling; uncertain
precocious,having developed abilities or characteristics at an earlier age than usual
presentiment,"an intuitive feeling about the future, especially one of foreboding"
pretentious,attempting to impress by affecting greater importance or talent than is actually possessed
procrastinate,to delay or postpone action
propeller,a rotating device with blades that provides thrust to move a boat or aircraft
prosaic,lacking imagination or excitement; dull
protagonist,"the leading character in a story, film, or play"
provocative,"intended to provoke a reaction, especially anger or debate"
quandary,"a state of uncertainty or perplexity, especially over a difficult choice"
quell,"to suppress or put an end to something, often by force"
quintessential,representing the most perfect or typical example of a quality or class
rambunctious,uncontrollably exuberant; boisterous
raucous,making or constituting a disagreeably harsh noise; disorderly
rebellious,"showing a desire to resist authority, control, or convention"
recuperate,to recover from illness or exertion
repertoire,"the range of skills, songs, or plays that a person or group knows or can perform"
reprehensible,deserving strong condemnation or criticism
rhetoric,the art of effective or persuasive speaking or writing
sagacious,having or showing keen mental discernment and good judgement; wise
sanctuary,"a place of refuge or safety, especially for wildlife"
satirical,"using humour, irony, or exaggeration to criticise people's stupidity or vices"
sequential,forming or following in a logical order or sequence
serendipity,the occurrence of events by chance in a happy or beneficial way
solemn,"formal and dignified, or deeply sincere"
soliloquy,"a speech in a play in which a character speaks their thoughts aloud, alone"
solstice,"either of the two times a year when the sun is at its greatest distance from the equator, marking the longest or shortest day"
staunch,loyal and committed in attitude
stoic,enduring hardship without showing feelings or complaining
superfluous,"unnecessary, especially through being more than what is required"
surreptitious,"kept secret, especially because it would not be approved of"
syndicate,a group of individuals or organisations combined to promote a common interest
tantalise,to torment with the sight of something desired but out of reach
tenacious,tending to keep a firm hold; persistent
tirade,"a long, angry speech of criticism or accusation"
transient,lasting only for a short time; passing through without staying long
unreliable,not able to be trusted or depended on
vehement,"showing strong and passionate feeling, often with force"
veracity,conformity to facts; accuracy or truthfulness
verbose,using or containing more words than are needed
vibrate,to move rapidly back and forth or shake with small movements
vicarious,"experienced through the actions or feelings of another person, in imagination"
vindictive,having or showing a strong desire for revenge
virtuoso,"a person highly skilled in an art, especially music"
vivacious,attractively lively and animated in character
voracious,"having a very eager approach to an activity, especially eating or reading"
wanderlust,a strong desire to travel and explore the world
xenophobia,an intense or irrational dislike or fear of people from other countries
zealous,having or showing great energy or enthusiasm in pursuit of a cause
