word,definition
implicate,to show that someone is involved in something wrong
improvement,a change that makes something better
including,counting something as part of a larger group
inexpert,lacking skill or experience in something
information,facts or details about something
informative,providing useful facts or knowledge
insane,extremely foolish or mentally unstable
insolent,rude and disrespectful in speech or behaviour
insurance,an agreement where you pay a company so they cover the cost if something goes wrong
intelligent,able to learn, understand, and solve problems well
intention,a plan or purpose behind an action
interesting,holding your attention because it is unusual or enjoyable
jeopardy,a situation of serious danger or risk
jettison,to throw something away or get rid of it, especially to lighten a load
journey,a trip from one place to another, often a long one
key,a metal tool used to lock or unlock something, or something essential
kidnapped,taken away and held against one's will, usually for ransom
kiosk,a small stall or booth used to sell things or give information
knowledge,information and understanding gained through learning or experience
language,a system of words and grammar used by people to communicate
league,a group of sports teams or people joined together for a common purpose
library,a building or room containing books for reading or borrowing
lightning,a sudden bright flash of electricity in the sky during a storm
litany,a long, repetitive list, often of complaints or problems
literacy,the ability to read and write
lullaby,a soft, soothing song sung to help a baby fall asleep
lunar,relating to the moon
lyrebird,an Australian bird famous for imitating other sounds it hears
majestic,impressively beautiful, grand, or dignified
malt,grain, usually barley, that has been soaked and dried for use in brewing or food
martial,relating to war or fighting, especially organised combat
matted,tangled together into a thick, messy clump
mayor,the person elected to lead a town or city's government
measured,found the size, length, or amount of something, or done in a careful, controlled way
medicine,a substance used to treat illness or relieve pain
medieval,relating to the period of history between about 500 and 1500 CE
minerals,natural, non-living substances found in rocks or soil, some of which our bodies need
mucus,a slimy substance produced inside the nose and throat to trap dust and germs
muscle,a body tissue that contracts to produce movement or strength
muscular,having well-developed, strong muscles
museum,a building where interesting or historical objects are displayed for people to view
mysterious,difficult to explain or understand, and often intriguing
mystery,something that is puzzling or cannot easily be explained
mystic,having a spiritual or magical quality that is hard to explain
myth,a traditional story, often explaining natural events, or a widely believed but false idea
natural,existing in nature rather than being made by people
negligent,failing to take proper care, resulting in carelessness or harm
neighbour,a person who lives near or next to you
niece,the daughter of one's brother or sister
normality,the state of being usual, ordinary, or expected
notice,a written announcement, or to become aware of something
nutrition,the process of getting the food needed for health and growth
oblige,to make someone do something, or to do a favour for someone
observe,to watch carefully and notice details
obviously,in a way that is clear and easy to see or understand
occur,to happen or take place
ogre,a frightening giant or monster in fairy tales, often cruel
omit,to leave something out or not include it
opportunity,a chance to do something worthwhile
opposition,resistance or disagreement against a plan, or a rival group
optical,relating to the eyes or the sense of sight
optimist,a person who tends to expect good things will happen
option,a choice between two or more possibilities
organise,to arrange things in a planned, orderly way
origami,the Japanese art of folding paper into decorative shapes
parallel,lines or things running side by side and always the same distance apart
pedestal,a base or stand that a statue or column rests on
personalities,the different characters or qualities that make people who they are
pincer,a claw-like gripping part, such as on a crab or lobster
plait,hair or strands woven together in an over-under pattern
pleasure,a feeling of happiness or enjoyment
prankster,a person who enjoys playing tricks or jokes on others
pray,to speak to a god or higher power, often asking for help or giving thanks
precious,highly valued because it is rare, loved, or important
predators,animals that hunt and eat other animals
presence,the state of being in a particular place
prey,an animal that is hunted and eaten by another animal
principal,the head of a school, or the most important thing
principle,a basic rule or belief that guides behaviour
professor,a senior teacher, usually at a university
pumpkin,a large, round orange vegetable often used in soups or carved for Halloween
punctual,arriving or happening at the exact expected time
pure,not mixed with anything else, clean or unpolluted
pursuit,the act of chasing or trying to achieve something
quaint,attractively old-fashioned or unusual
quay,a paved area beside water where boats load and unload
quench,to satisfy thirst or put out a fire
query,a question, especially one asking for information or clarification
queue,a line of people or vehicles waiting for their turn
radial,arranged like the spokes of a wheel, spreading out from a central point
ravine,a deep, narrow valley with steep sides, often carved by a stream
razor,a sharp-bladed tool used for shaving hair from the skin
realistic,close to how things actually are in real life
receive,to get or be given something
recent,happening or made a short time ago
recognise,to know someone or something because you have seen it before
recommend,to suggest that something is good or suitable
rectangular,shaped like a rectangle, with four straight sides and right angles
relationships,the connections or bonds between people
relevant,closely connected to the matter at hand
reliving,experiencing something again in your memory or imagination
reluctant,unwilling or hesitant to do something
remnant,a small leftover piece of something larger
remorse,a deep feeling of guilt for something wrong you did
replenish,to fill something up again after it has been used
require,to need something in order for it to work or happen
resources,materials, money, or supplies available for use
responsible,having a duty to take care of something or someone
rhyme,words that end with the same sound
ridiculous,so silly or unreasonable that it seems funny
rogue,behaving in a way that is different from what is normal or expected, often dishonestly
saxophone,a curved brass musical instrument played by blowing through a reed
scientific,relating to science or based on careful testing and evidence
seize,to grab or take hold of something quickly and firmly
sewage,waste water and human waste carried away in drains
sewerage,the system of pipes and drains that carries away waste water
shoulder,the part of your body where your arm joins your torso
shrieked,made a loud, high-pitched cry of fear or excitement
signal,a sign or gesture that gives information or instructions
skeleton,the framework of bones that supports a body
slaughter,the killing of animals, especially for food
society,a large community of people living together with shared customs and laws
sought,the past tense of seek, meaning tried to find or obtain
spectacular,extremely impressive or eye-catching
stammered,spoke with sudden pauses or repeated sounds, often from nervousness
stomach,the organ in your body where food is digested
submarine,a ship that can travel underwater
subsided,became less intense or settled down
success,the achievement of a goal or desired result
suitable,right or appropriate for a particular purpose
summoned,called someone to come or ordered them to appear
supervision,the act of watching over and directing an activity
surrounded,was on every side of something or someone
survive,to continue living or existing despite difficulty
system,a set of parts that work together as a whole
taffeta,a stiff, shiny fabric often used for formal dresses
talons,the sharp claws of a bird of prey
tarantula,a large, hairy spider found in warm climates
taught,the past tense of teach, meaning showed someone how to do something
technique,a particular way of doing something skilfully
temperature,how hot or cold something is
tension,a feeling of strain or nervousness, or tightness in something
tentacles,long, flexible limbs used by some sea creatures to grip or feel
terrace,a flat, raised area outside a house, or a row of joined houses
terrible,very bad or unpleasant
terribly,in a very bad way, or to a great extent
territory,an area of land belonging to or controlled by someone
uncomfortable,not physically or mentally at ease
unexpectedly,in a way that was not predicted or planned
unfortunately,unluckily, or in a way that causes regret
unique,being the only one of its kind
unnatural,not normal or not occurring naturally
upholsterer,a person who fits fabric, padding, and springs to furniture
urban,relating to a city or densely populated area
urgency,the need for something to be dealt with quickly
useless,not able to do anything helpful or effective
valuable,worth a lot of money or very useful
vegetation,plants growing in a particular area
verdant,covered with lush, green plants
vessel,a ship or boat, or a container for holding liquid
wary,cautious because of possible danger or trouble
wearisome,tiring and causing you to lose interest
weary,very tired, especially after a lot of effort
weighed,measured how heavy something was
weight,how heavy something is
weird,strange or unusual
wholly,completely or entirely
witchery,magic or bewitching power, often used in a playful sense
women,adult female humans, more than one
wonderful,extremely good or pleasing
wrapped,covered something by folding paper or material around it
wrinkle,a small fold or crease, often in skin or fabric
written,put into words on paper, in the past participle form of write
zephyr,a soft, gentle breeze
