word,definition
island,a piece of land surrounded by water
jargon,special words or phrases used by a particular group or profession
jewellery,ornaments worn for decoration, such as rings or necklaces
jubilant,full of joy, especially after a success
judgement,the ability to make sensible decisions, or an opinion formed after careful thought
khaki,a dull yellowish-brown colour, often used for uniforms
kilometre,a unit of distance equal to one thousand metres
kimono,a traditional Japanese robe with wide sleeves
kindling,small sticks used to start a fire
kiosk,a small stall or booth selling food or goods
knowledge,information and understanding gained through learning or experience
labour,hard work, or workers as a group
lagoon,a shallow area of water separated from the sea by a reef or sandbar
lethargic,lacking energy; sluggish
malaise,a general feeling of discomfort, illness or unease
maple,a tree known for its broad leaves and sweet sap
marron,a large freshwater crayfish found in Western Australian rivers
marvellous,wonderful; extremely good
mirage,an optical illusion, often seeing water in a desert
mischief,playful troublemaking
mosaic,a picture made from small pieces of coloured tile or glass
necessary,needed or required
neighbour,a person who lives next door or nearby
nomadic,moving from place to place rather than living in one location
normally,usually, under normal conditions
nostalgia,a sentimental longing for the past
nuisance,a person or thing causing annoyance
obstinate,stubbornly refusing to change one's opinion
occasion,a particular time or event
occur,to happen
opaque,not able to be seen through
opportunity,a good chance to do something
opulent,luxurious and expensive-looking
orchestra,a large group of musicians playing together
outrageous,shockingly bold, unusual or unfair
pageant,a public entertainment or ceremony, often with a procession
palatial,like a palace; spacious and grand
panache,a stylish and confident way of doing something
parliament,the group of people who make a country's laws
patience,the ability to wait calmly without getting annoyed
penchant,a strong liking or habitual tendency
physical,relating to the body, or to things that can be touched
possess,to own or have something
prejudice,an unfair opinion formed without good reason
privilege,a special right or advantage given to a person or group
profess,to openly declare a belief or feeling
professional,relating to a job requiring special training, or done to a high standard
quaint,attractively old-fashioned or unusual
quarantine,isolation to prevent the spread of disease
questionnaire,a set of written questions used to gather information
rancour,bitter, long-lasting resentment
rapport,a close, understanding relationship
receipt,a printed record proving that payment was made
recognise,to identify someone or something already known
recommend,to suggest something as good or suitable
reservoir,a large lake used to store water for a city or town
restaurant,a place where meals are cooked and served to customers
reverie,a state of being pleasantly lost in one's thoughts
ricochet,to bounce off a surface at an angle
sabotage,to deliberately damage or obstruct something
sacrifice,to give something up for the sake of something else
sadden,to make someone feel unhappy
safari,a trip to observe wild animals, especially in Africa
samurai,a member of a historical Japanese warrior class
sapling,a young tree
sceptical,doubtful about whether something is true
scissors,a cutting tool with two blades joined at a pivot
scrawl,to write quickly and messily
scrutiny,close and careful examination
separate,to divide or keep apart
shepherd,a person who looks after sheep
shriek,a loud, high-pitched cry
siege,a military operation to capture a place by surrounding it
smitten,deeply affected by love or admiration
solemn,serious and dignified
sombrero,a wide-brimmed hat worn for protection from the sun
southerly,coming from or facing the south
souvenir,an object kept as a reminder of a place or event
spectacular,very impressive to look at
squirrel,a small, bushy-tailed animal that often stores food
stadium,a large venue with tiered seating for watching sport
stoicism,calm endurance of hardship without complaint
subtle,not obvious; delicate or slight
succeed,to achieve a desired result
sufficient,enough for a particular purpose
suspicious,feeling or causing doubt or distrust
tantrum,a sudden outburst of bad temper
technique,a particular way of doing something skilfully
thorough,complete and careful in every detail
tinsel,shiny, sparkly strips used to decorate Christmas trees
tirade,a long, angry speech of criticism
tomorrow,the day after today
umbrage,a feeling of offence or annoyance
unanimous,agreed on by everyone
unison,saying or doing something together at the same time
vague,not clear or precise
vehicle,a machine used for transporting people or goods
vengeance,punishment inflicted in return for a wrong
verandah,a roofed platform along the outside of a house
vestige,a small remaining trace of something that once existed
vexation,a state of being annoyed or frustrated
villain,the main bad character in a story
vivacious,full of energy and enthusiasm
weird,very strange or odd
wheedle,to coax someone with flattery to get what you want
whimsical,playfully unusual or fanciful
wreckage,the remains of something destroyed
wrestle,to fight by grappling and trying to throw an opponent down
wrinkle,a small crease or fold, especially in skin or fabric
yacht,a sailing or motor boat used for racing or pleasure cruising
yolk,the yellow part of an egg
zenith,the highest point or peak of something
zephyr,a soft, gentle breeze
