word,definition
ordinary,normal; not special
originated,started or came from
outrageous,shocking or way beyond what is acceptable
overwhelmed,feeling there is too much to cope with
particles,very tiny pieces of something
performance,the act of presenting a show or task
pillar,a tall column that supports a building
platypus,a small Australian water animal with a duck-like bill
practically,almost; or in a sensible way
precision,being exact and careful
preventable,able to be stopped from happening
previously,before now
principle,a basic rule or belief
proceed,to go forward or continue
procession,an organised line of people moving forward
profitable,making money
protein,a nutrient your body needs to build muscle
pumpkin,a large orange round vegetable
quarrel,an angry argument
queue,a line of people waiting their turn
radius,the distance from the centre of a circle to its edge
received,got or accepted something given
recipients,people who receive something
reconciliation,the act of making peace after a disagreement
record,information stored for future use; or to capture sound
recreational,done for fun or relaxation
renewable,able to be replaced or restored naturally
rhythm,a regular repeated pattern of sound or movement
routine,a regular fixed way of doing things
salmon,a pink-fleshed fish from cold rivers and seas
satellite,an object that orbits a planet, often man-made
schedule,a plan of when things will happen
several,more than two but not many
significant,important or noticeable
southern,in or towards the south
species,a group of similar living things
sponsored,supported with money in exchange for advertising
stomach,the part of the body that digests food
straight,without any bends
strategically,in a way carefully planned to win
structural,relating to the way something is built
subsequent,coming after something else
substantial,large in size or amount
sufficient,enough for what is needed
surgery,a doctor's operation on the body
system,a set of connected things that work together
techniques,particular ways of doing something
temporary,lasting only for a short time
theory,an idea that explains how something works
traditional,passed down from earlier times
transcontinental,going across a continent
trauma,a serious shock or injury
typically,usually; in the normal way
unannounced,without warning
urban,relating to cities and towns
vague,not clear or exact
ventilated,supplied with fresh air
video,recorded moving images
vigorous,full of strength and energy
volunteer,someone who helps without being paid
vulnerable,easily harmed or affected
weird,strange or unusual
whistle,a sharp sound made by blowing through pursed lips
wreckage,broken pieces left after destruction
yawning,opening the mouth wide because you are tired
