word,definition
fatigued,very tired
faulty,not working properly
fiercely,in a strong and forceful way
finally,at last; after a long time
fitness,the state of being physically healthy
forecast,a prediction about future weather
forfeit,to lose something as a penalty
format,the way something is arranged or presented
frightened,scared
funniest,most amusing
futuristic,looking like something from the future
garbage,rubbish or waste
gases,substances like air that have no fixed shape
genius,a person with great natural ability
gossip,casual talk about other people's lives
graphic,clear and detailed; or relating to images
grateful,feeling thankful
groceries,food and other goods bought at a shop
grown,fully developed
habitat,the natural home of an animal or plant
heavily,with a lot of weight or force
hedge,a row of bushes that forms a fence
height,how tall something is
helicopter,a flying machine with spinning blades on top
hiding,keeping out of sight
highway,a main road for fast traffic
honeycomb,the wax pattern of cells where bees store honey
identifies,recognises and names something
immediately,right now; without delay
impatience,not being willing to wait
impossible,not able to be done
impression,an idea or feeling about something or someone
ineffective,not producing the desired result
instrument,a tool used for a particular job; or for music
intelligence,the ability to learn and understand
interfere,to get involved in something that isn't your business
journals,notebooks where you record your thoughts
kilojoule,a unit for measuring energy in food
label,a small piece of paper or fabric attached to something
length,how long something is
library,a place full of books to borrow or read
lifeguards,people who watch over swimmers to keep them safe
lizard,a small reptile with four legs and a long tail
local,belonging to the area near where you live
lyrics,the words of a song
marathon,a very long running race
meant,intended or planned
measure,to find the size or amount of something
message,information sent from one person to another
miniature,a very small version of something
mischief,playful or naughty behaviour
miserable,extremely unhappy
moisture,small amounts of water in the air or on a surface
mountain,a very tall raised part of land
nursery,a place where small children are looked after
nurture,to care for and help something grow
obedience,following rules or doing what you are told
offering,giving something to someone
onion,a strong-tasting vegetable used in cooking
opinion,what someone thinks about something
orbit,the path one object takes around another in space
outrageous,shocking or way beyond what is acceptable
overnight,during the night
overwhelmed,feeling there is too much to cope with
particles,very tiny pieces of something
passengers,people travelling in a vehicle
patients,sick people being looked after by a doctor
peaceful,calm and quiet
penguin,a black-and-white seabird that cannot fly
performance,the act of presenting a show or task
perimeter,the distance around the edge of a shape
pneumonia,a serious illness in the lungs
poisonous,able to make something sick or kill it
pollute,to make air, water, or land dirty
possible,able to happen
precipitation,rain, snow, sleet, or hail
precision,being exact and careful
predictable,easy to know in advance
previously,before now
prey,an animal hunted for food by another animal
principle,a basic rule or belief
proceed,to go forward or continue
pumpkin,a large orange round vegetable
queue,a line of people waiting their turn
received,got or accepted something given
recognize,to see and know who or what something is
recruits,new members joining a group like the army
reliable,can be trusted to work or do the right thing
reputations,the opinions people have about you
responsibilities,duties and tasks you must take care of
salmon,a pink-fleshed fish from cold rivers and seas
sample,a small piece used to show what the rest is like
sausage,a meat product packed in a tube of skin
scratches,marks made by something sharp
secluded,quiet and hidden away
sensitive,easily affected by things
shoulder,the joint where your arm meets your body
similar,almost the same as something else
since,from a particular time in the past until now
sketched,drew quickly without much detail
sketches,quick rough drawings
soldiers,people who serve in an army
southern,in or towards the south
spinach,a leafy green vegetable
sponsored,supported with money in exchange for advertising
stitch,a single loop of thread in sewing
stomach,the part of the body that digests food
substantial,large in size or amount
successful,having achieved what was wanted
surgery,a doctor's operation on the body
surprised,caught off guard by something unexpected
sustain,to keep going for a long time
swollen,puffed up from injury or illness
symbols,signs that stand for something else
sympathy,understanding for someone else's feelings
symphony,a long piece of music for an orchestra
tadpoles,baby frogs that live in water
taste,the flavour something has in your mouth
technological,relating to technology
temporary,lasting only for a short time
thought,past tense of 'think'; an idea
thumbnail,the nail on your thumb; or a tiny picture
tournament,a competition with several rounds
traditional,passed down from earlier times
trouble,problems or difficulty
turtles,reptiles with hard shells that live in water or on land
typically,usually; in the normal way
unacceptable,not good enough; not allowed
uncle,the brother of your mother or father
valuable,worth a lot of money or important to you
variety,many different kinds
vehicle,a machine that moves people or things, like a car
version,one form of something that exists in several
volunteer,someone who helps without being paid
warmest,hottest of a group
weapon,a tool used to harm or fight
weighed,measured the heaviness of something
wheelbarrow,a small cart with one wheel for carrying loads
whirlpool,a fast spinning current of water
worst,least good
wrist,the joint between the hand and the arm
yawning,opening the mouth wide because you are tired
